,datetime,open,high,low,close,volume,volumeCcy
118,2022-02-25 09:15:00,2591.39,2597.15,2573.01,2574.93,12340.488371,31899606.093787
119,2022-02-25 09:00:00,2608.81,2614.42,2588.41,2591.36,9958.39041,25905793.932811
120,2022-02-25 08:45:00,2607.41,2616.21,2605.61,2609.61,7891.509907,20604035.022859
121,2022-02-25 08:30:00,2604.81,2611.98,2600.61,2608.77,9718.03326,25330480.1182
122,2022-02-25 08:15:00,2601.14,2608.11,2592.07,2605.13,12142.438069,31566202.472471
123,2022-02-25 08:00:00,2613.6,2619.36,2596.3,2601.66,12240.60916,31938990.374227
124,2022-02-25 07:45:00,2620.2,2627.81,2608.95,2614.16,7120.431506,18636420.268922
125,2022-02-25 07:30:00,2623.6,2625.97,2613.65,2620.92,6681.529407,17496096.560242
126,2022-02-25 07:15:00,2623.82,2630.87,2618.76,2622.9,6821.768678,17900460.292256
127,2022-02-25 07:00:00,2633.09,2645.81,2622.12,2623.81,12332.830583,32480345.014962
128,2022-02-25 06:45:00,2625.64,2635.17,2624.4,2633.8,4511.391903,11859963.737022
129,2022-02-25 06:30:00,2622.4,2633.91,2614.74,2625.63,6841.130317,17953817.591351
130,2022-02-25 06:15:00,2620,2633.54,2614.4,2622.36,7283.102586,19121870.712824
131,2022-02-25 06:00:00,2605.81,2620.39,2597.3,2620.38,6323.347699,16487599.741664
132,2022-02-25 05:45:00,2616.87,2622.18,2604.61,2605.89,4399.036122,11492169.683583
133,2022-02-25 05:30:00,2606,2619.69,2603.87,2617.5,7537.779804,19699954.100911
134,2022-02-25 05:15:00,2586.06,2612.69,2586.06,2605.93,7843.091125,20408435.731676
135,2022-02-25 05:00:00,2617.59,2623.56,2585.78,2586.46,9623.498794,25018313.572657
136,2022-02-25 04:45:00,2616.83,2623.53,2540.15,2617.41,2129107.038001,5570001866.041976
137,2022-02-25 04:30:00,2620,2620,2612.69,2616.83,1184256.134141,3102390723.430076
138,2022-02-25 04:15:00,2620,2620,2612.69,2620,3293472.775024,8628898517.244503
139,2022-02-25 04:00:00,2635.93,2638.06,2616.66,2620,223524.310007,585731716.74026
140,2022-02-25 03:45:00,2629.2,2640.54,2626.62,2636.59,7323.983338,19289992.230113
141,2022-02-25 03:30:00,2615.21,2632.81,2606.71,2629.1,10758.051996,28153282.437532
142,2022-02-25 03:15:00,2628.76,2628.76,2613.42,2615.9,7678.227388,20107290.327573
143,2022-02-25 03:00:00,2640.2,2640.2,2627.83,2628.81,5590.947225,14718285.60906
144,2022-02-25 02:45:00,2637.14,2647.57,2632.29,2640.38,7299.476517,19275460.076967
145,2022-02-25 02:30:00,2645.26,2648.78,2632.67,2637.34,7738.462075,20422006.328952
146,2022-02-25 02:15:00,2630.38,2647.33,2625.45,2645.71,13402.06925,35330675.981386
147,2022-02-25 02:00:00,2629.8,2639.9,2624.27,2630,12726.716269,33491765.673215
148,2022-02-25 01:45:00,2622.93,2631.22,2612.51,2630.33,2054038.034163,5387739097.784674
149,2022-02-25 01:30:00,2630,2630,2612.69,2622.95,1981942.869045,5200858272.581772
150,2022-02-25 01:15:00,2610.39,2647.06,2609.58,2630,47827.930186,125786980.97128
151,2022-02-25 01:00:00,2584.61,2611.63,2583.01,2610.28,12308.10806,31970139.335979
152,2022-02-25 00:45:00,2606.49,2607.68,2583.6,2583.91,11131.028844,28885432.548706
